City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Hobart,AU,-42.88,147.33,46.0,87,75,5.82,broken clouds,0,0
1,Cap Malheureux,MU,-19.98,57.61,72.0,74,19,8.01,few clouds,0,0
2,Esperance,AU,-33.87,121.9,48.2,61,0,20.8,clear sky,0,0
3,Busselton,AU,-33.65,115.33,59.0,68,98,12.8,light rain,0,0
4,Mataura,NZ,-46.19,168.86,44.11,84,75,4.54,broken clouds,0,0
5,Benguela,AO,-12.58,13.41,67.32,85,0,6.38,clear sky,0,0
6,Rikitea,PF,-23.12,-134.97,71.2,73,90,14.18,overcast clouds,0,0
7,Jamestown,US,42.1,-79.24,70.0,73,1,6.93,clear sky,0,0
8,Castro,BR,-24.79,-50.01,58.1,88,5,4.76,clear sky,0,0
9,Makakilo City,US,21.35,-158.09,86.0,51,75,6.93,broken clouds,0,0
10,Zemio,CF,5.03,25.14,69.39,96,100,3.18,overcast clouds,0,0
11,Khakhea,BW,-24.69,23.49,41.18,52,0,10.58,clear sky,0,0
12,Moranbah,AU,-22.0,148.05,65.66,29,0,11.39,clear sky,0,0
13,Saldanha,ZA,-33.01,17.94,57.2,93,65,17.22,broken clouds,0,0
14,Barrow,US,71.29,-156.79,39.2,80,90,9.17,overcast clouds,0,0
15,Ushuaia,AR,-54.8,-68.3,35.6,80,40,18.34,scattered clouds,0,0
16,Atuona,PF,-9.8,-139.03,79.52,77,1,19.64,clear sky,0,0
17,Miri,MY,4.41,114.01,82.4,83,20,3.36,few clouds,0,0
18,Kavieng,PG,-2.57,150.8,84.18,68,98,5.08,overcast clouds,0,0
19,Cape Town,ZA,-33.93,18.42,59.0,93,75,28.86,light rain,0,0
20,Toamasina,MG,-18.17,49.38,66.2,93,40,2.24,shower rain,0,0
21,Marsh Harbour,BS,26.54,-77.06,82.65,73,85,15.28,overcast clouds,0,0
22,Rockport,US,28.02,-97.05,89.6,70,1,9.17,clear sky,0,0
23,Bredasdorp,ZA,-34.53,20.04,62.6,48,95,19.46,moderate rain,0,0
24,Padang,ID,-0.95,100.35,77.34,81,100,4.14,light rain,0,0
25,Diffa,NE,13.32,12.61,81.18,58,0,9.33,clear sky,0,0
26,Tasiilaq,GL,65.61,-37.64,37.4,86,38,9.17,scattered clouds,0,0
27,Ribeira Grande,PT,38.52,-28.7,68.7,82,8,15.82,clear sky,0,0
28,Tuatapere,NZ,-46.13,167.68,46.44,66,42,4.12,scattered clouds,0,0
29,Basco,PH,20.45,121.97,84.83,81,0,12.59,clear sky,0,0
30,Bengkulu,ID,-3.8,102.27,76.26,86,94,2.82,overcast clouds,0,0
31,Bandarbeyla,SO,9.49,50.81,82.18,64,27,28.95,scattered clouds,0,0
32,Punta Arenas,CL,-53.15,-70.92,33.8,86,43,8.05,light snow,0,0
33,Sioux Lookout,CA,50.1,-91.92,75.2,50,40,4.7,scattered clouds,0,0
34,Saint-Philippe,RE,-21.36,55.77,64.4,72,46,8.05,light rain,0,0
35,Vaini,TO,-21.2,-175.2,71.55,77,62,26.24,broken clouds,0,0
36,Voh,NC,-20.97,164.7,76.44,68,99,4.16,light rain,0,0
37,Dikson,RU,73.51,80.55,41.22,96,100,5.93,overcast clouds,0,0
38,Yellowknife,CA,62.46,-114.35,71.6,49,75,3.36,broken clouds,0,0
39,Ashtabula,US,41.7,-80.77,73.99,69,1,3.36,clear sky,0,0
40,Constitucion,CL,-35.33,-72.42,52.65,84,100,5.61,overcast clouds,0,0
41,Sao Joao Da Barra,BR,-21.64,-41.05,71.2,86,82,14.58,broken clouds,0,0
42,Victoria,HK,22.29,114.16,87.01,74,1,4.0,clear sky,0,0
43,Vardo,NO,70.37,31.11,47.08,89,0,3.47,clear sky,0,0
44,Qaanaaq,GL,77.48,-69.36,45.05,65,97,2.33,overcast clouds,0,0
45,Malakal,SS,9.53,31.66,71.11,95,100,4.61,overcast clouds,0,0
46,Hailey,US,43.52,-114.32,82.4,15,5,14.99,clear sky,0,0
47,Chokurdakh,RU,70.63,147.92,72.19,43,37,9.31,scattered clouds,0,0
48,Suamico,US,44.63,-88.04,77.0,47,1,6.93,clear sky,0,0
49,Hilo,US,19.73,-155.09,84.2,58,20,9.17,few clouds,0,0
50,San Patricio,MX,19.22,-104.7,84.2,79,75,13.87,broken clouds,0,0
51,Narsaq,GL,60.92,-46.05,51.8,57,100,4.7,light rain,0,0
52,Pisco,PE,-13.7,-76.22,61.0,87,40,4.7,mist,0,0
53,Pacific Grove,US,36.62,-121.92,75.99,52,1,9.17,clear sky,0,0
54,Wajir,KE,1.75,40.06,73.72,72,29,14.2,scattered clouds,0,0
55,Hithadhoo,MV,-0.6,73.08,84.56,73,42,10.29,scattered clouds,0,0
56,Nanortalik,GL,60.14,-45.24,45.97,88,100,4.23,light rain,0,0
57,Carnarvon,AU,-24.87,113.63,59.0,93,0,4.7,clear sky,0,0
58,Kahului,US,20.89,-156.47,89.6,43,40,25.28,scattered clouds,0,0
59,Maceio,BR,-9.67,-35.74,73.4,88,75,1.12,broken clouds,0,0
60,Raypur,IN,22.41,88.51,82.4,94,75,4.7,haze,0,0
61,Severo-Kurilsk,RU,50.68,156.12,50.54,90,100,8.37,overcast clouds,0,0
62,Khatanga,RU,71.97,102.5,60.6,63,46,19.08,scattered clouds,0,0
63,Bluff,NZ,-46.6,168.33,47.5,69,100,11.52,overcast clouds,0,0
64,Lebu,CL,-37.62,-73.65,48.43,89,100,8.43,overcast clouds,0,0
65,Port Elizabeth,ZA,-33.92,25.57,62.6,29,0,11.41,clear sky,0,0
66,Sao Pedro Do Sul,BR,-29.62,-54.18,53.6,100,3,2.24,clear sky,0,0
67,Tuktoyaktuk,CA,69.45,-133.04,57.2,62,75,10.29,broken clouds,0,0
68,Meadow Lake,US,34.8,-106.54,96.8,13,75,18.34,broken clouds,0,0
69,Bay Saint Louis,US,30.31,-89.33,93.2,63,40,3.36,scattered clouds,0,0
70,Atherton,GB,53.52,-2.49,60.01,65,64,5.21,broken clouds,0,0
71,Lorengau,PG,-2.02,147.27,85.59,62,50,4.38,scattered clouds,0,0
72,Fruitville,US,27.33,-82.46,87.8,70,20,10.29,few clouds,0,0
73,Vila Franca Do Campo,PT,37.72,-25.43,68.0,72,40,5.82,scattered clouds,0,0
74,Albany,US,42.6,-73.97,82.99,53,95,1.99,overcast clouds,0,0
75,Lac Du Bonnet,CA,50.25,-96.06,80.01,99,0,5.99,clear sky,0,0
76,Arraial Do Cabo,BR,-22.97,-42.03,72.46,78,92,13.87,overcast clouds,0,0
77,Trat,TH,12.5,102.5,78.8,90,100,6.6,moderate rain,0,0
78,Kapaa,US,22.08,-159.32,82.4,69,40,20.8,scattered clouds,0,0
79,Puerto Ayora,EC,-0.74,-90.35,68.0,90,82,1.01,broken clouds,0,0
80,Georgetown,MY,5.41,100.34,80.6,94,20,4.88,few clouds,0,0
81,Ambam,CM,2.38,11.28,68.23,98,94,3.04,overcast clouds,0,0
