City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Makakilo City,US,86.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
16,Atuona,PF,79.52,clear sky,-9.8,-139.03,Villa Enata
17,Miri,MY,82.4,few clouds,4.41,114.01,"Mega Hotel, Miri"
18,Kavieng,PG,84.18,overcast clouds,-2.57,150.8,Nusa Island Retreat
21,Marsh Harbour,BS,82.65,overcast clouds,26.54,-77.06,Abaco Beach Resort
22,Rockport,US,89.6,clear sky,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
24,Padang,ID,77.34,light rain,-0.95,100.35,Mercure Padang
25,Diffa,NE,81.18,clear sky,13.32,12.61,ProDAF/Diffa
29,Basco,PH,84.83,clear sky,20.45,121.97,Nathaniel's Lodge
30,Bengkulu,ID,76.26,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
31,Bandarbeyla,SO,82.18,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
33,Sioux Lookout,CA,75.2,scattered clouds,50.1,-91.92,Knobby's Fly-In Camps
36,Voh,NC,76.44,light rain,-20.97,164.7,Le gîte du Koniambo
42,Victoria,HK,87.01,clear sky,22.29,114.16,Mini Hotel Central
46,Hailey,US,82.4,clear sky,43.52,-114.32,Wood River Inn & Suites
48,Suamico,US,77.0,clear sky,44.63,-88.04,"Country Inn & Suites by Radisson, Green Bay North, WI"
49,Hilo,US,84.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
50,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
53,Pacific Grove,US,75.99,clear sky,36.62,-121.92,Lovers Point Inn
55,Hithadhoo,MV,84.56,scattered clouds,-0.6,73.08,Scoop Guest House
58,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
60,Raypur,IN,82.4,haze,22.41,88.51,Abakash
71,Lorengau,PG,85.59,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
72,Fruitville,US,87.8,few clouds,27.33,-82.46,Homewood Suites by Hilton Sarasota
74,Albany,US,82.99,overcast clouds,42.6,-73.97,
75,Lac Du Bonnet,CA,80.01,clear sky,50.25,-96.06,Casey's Inn Motor Hotel
77,Trat,TH,78.8,moderate rain,12.5,102.5,สวนหนิง-อัศ
78,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
80,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
82,Alugan,PH,84.83,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
83,Kerema,PG,83.68,clear sky,-7.96,145.78,Elore Lodge
88,Port Blair,IN,82.69,overcast clouds,11.67,92.75,Hotel Sentinel
94,Lamu,KE,77.23,broken clouds,-2.27,40.9,Lamu House
101,Bahia Honda,CU,80.87,overcast clouds,22.9,-83.16,Casa Gualberto - Deysi
102,Zhezkazgan,KZ,77.07,clear sky,47.8,67.71,Kvartiry Posutochno.
105,Bethel,US,78.8,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
119,Butaritari,KI,83.8,broken clouds,3.07,172.79,Isles Sunset Lodge
121,Beirut,LB,78.8,clear sky,33.89,35.49,Crowne Plaza Beirut
126,Raychikhinsk,RU,77.59,clear sky,49.78,129.41,pioneer house
127,Hami,CN,79.79,broken clouds,42.8,93.45,Laoyutang Resort
133,Arenapolis,BR,75.52,few clouds,-14.45,-56.85,Mato Grosso Hotel
136,Bodden Town,KY,84.99,few clouds,19.28,-81.25,Will T Place
139,Esna,EG,82.65,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
140,Sarankhola,BD,83.25,moderate rain,22.31,89.79,ইসা ষ্টোর
144,Cape Canaveral,US,84.2,broken clouds,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
146,Hamilton,US,75.99,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
149,Tagusao,PH,83.95,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
150,Sibolga,ID,75.13,light rain,1.74,98.78,Hotel Syariah CN Darussalam
153,Elizabeth City,US,87.8,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
154,Banda Aceh,ID,81.27,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
156,Nabire,ID,84.83,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
160,San Andres,CO,82.4,few clouds,12.58,-81.7,Hotel Arena Blanca
161,Biak,ID,80.49,broken clouds,-0.91,122.88,Kost Ariz
167,Acarau,BR,77.67,few clouds,-2.89,-40.12,castelo pizzaria
171,Faanui,PF,79.09,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Cabo Rojo,PR,84.99,broken clouds,18.09,-67.15,Hotel Perichi's
173,Wilmington,US,80.6,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
175,Champaign,US,78.8,clear sky,40.13,-88.2,"Comfort Suites Urbana Champaign, University Area"
181,Chapada Dos Guimaraes,BR,80.6,scattered clouds,-15.46,-55.75,Pousada Morro Dos Ventos
183,Aswan,EG,81.99,clear sky,24.09,32.91,Nuba Nile
188,Sena Madureira,BR,76.89,few clouds,-9.07,-68.66,Hotel Suzani
191,Ocos,GT,84.2,broken clouds,14.51,-92.19,La Bajadita
202,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
206,Tucurui,BR,77.68,broken clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
207,Beyneu,KZ,82.06,clear sky,45.32,55.2,NUR
208,Batagay,RU,80.49,broken clouds,67.63,134.63,
210,Altamira,BR,75.38,broken clouds,-3.2,-52.21,Requinte Hotel
211,Itaituba,BR,75.65,clear sky,-4.28,-55.98,Hotel Campos
