City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,22.89,-109.91,91.99,52,20,9.17
1,Atuona,PF,-9.8,-139.03,79.12,79,50,17.54
2,Bengkulu,ID,-3.8,102.27,75.43,87,30,3.47
3,Leningradskiy,RU,69.38,178.42,45.82,63,0,15.12
4,Kidal,ML,18.44,1.41,92.03,31,78,8.46
5,Pangnirtung,CA,66.15,-65.71,53.53,51,87,2.75
6,Ushuaia,AR,-54.8,-68.3,35.6,74,20,16.11
7,Edd,ER,13.93,41.69,90.01,56,99,8.84
8,Cape Town,ZA,-33.93,18.42,54.0,81,20,9.17
9,Torbay,CA,47.67,-52.73,69.01,68,90,10.29
10,Manggar,ID,-2.88,108.27,79.81,85,46,9.71
11,Yellowknife,CA,62.46,-114.35,75.0,56,75,8.05
12,Khatanga,RU,71.97,102.5,52.05,83,69,14.36
13,Georgetown,MY,5.41,100.34,78.8,88,20,5.14
14,Liuzhou,CN,24.31,109.39,78.85,84,99,9.28
15,Aklavik,CA,68.22,-135.01,57.2,50,40,5.82
16,Havelock,US,34.88,-76.9,89.6,59,40,10.29
17,Albany,US,42.6,-73.97,89.6,52,75,16.11
18,Upernavik,GL,72.79,-56.15,41.94,82,6,4.16
19,Mahebourg,MU,-20.41,57.7,69.8,73,40,17.22
20,Grand Gaube,MU,-20.01,57.66,71.01,67,50,10.0
21,Punta Arenas,CL,-53.15,-70.92,35.6,69,40,10.29
22,Port Alfred,ZA,-33.59,26.89,52.0,78,48,5.01
23,Iqaluit,CA,63.75,-68.51,41.0,93,90,4.7
24,Eldorado,BR,-23.79,-54.28,71.01,75,0,6.87
25,Hermanus,ZA,-34.42,19.23,50.0,72,1,1.99
26,Birjand,IR,32.87,59.22,71.6,28,0,11.41
27,Hobart,AU,-42.88,147.33,46.0,93,75,5.82
28,Umm Kaddadah,SD,13.6,26.69,86.0,44,7,2.17
29,Angoche,MZ,-16.23,39.91,72.19,74,0,5.73
30,Arraial Do Cabo,BR,-22.97,-42.03,75.2,69,0,13.87
31,Bethel,US,41.37,-73.41,81.0,74,20,9.17
32,Asau,RO,46.43,26.4,61.0,85,0,4.12
33,Gordeyevka,RU,52.96,31.97,67.17,93,62,9.8
34,Avarua,CK,-21.21,-159.78,77.0,78,96,8.05
